科目\时间,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
资产负债比率,15.2070876675,21.4039475814,16.4739792334,17.2359777732,14.2546173489,22.489870162,19.519092075,27.5644490623,19.117182851,26.5493085068,27.8567847288,25.7171235071,21.7665067734,28.6683425406,30.8336044122,34.323433167,30.6986257755,32.7942151176,32.2052369339,29.5074521134,21.776483231,23.2525523967,20.165531707,11.9936861603,12.8529858785,16.0332577727,14.1688085314,15.5636461973,15.3062847587,20.4223818515,19.1865611971,17.9767893039,15.9177201732,21.2101165317,17.6215598381,28.472080904,21.6355036753,27.2127590027,29.8243178578,30.3206597857,29.5628139136,27.5062755539,22.3071115908,21.5461344544,21.7040122129,25.8884942584,15.0691216998,17.5711629622,19.3113521636,26.9818386359
资产收益率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
净资产收益率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
销售毛利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
销售净利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金流量比率,-306.1069320682,13.0758430632,-101.3511082881,-408.4527614241,150.8616691749,-2.3789462208,-44.3740751208,24.7734591237,-86.8612469784,92.1590545948,-18.1277326937,-48.5257123618,-25.2221351456,-56.688969279,-44.0073944044,-37.5274492126,-10.7224753104,186.3495229448,481.6236966904,174.3364815587,439.2897124704,225.5131975857,411.7283336818,193.2973340953,163.1352589423,4377.8096965507,33.1383008834,3.5772216921,-484.793998089,-101.8453348494,-544.8691576378,-245.0937838643,-154.7586660055,-29.051444523,-91.9379951027,-38.0652469478,-80.8129084718,70.6163381547,320.713601192,737.5907334976,1210.7113287279,90.6865541723,746.7994508944,276.4637711938,155.0029231305,-51.0702273696,-111.8168407317,-186.8133577614,-151.2512518737,1256.6265703254
营业总收入同比增长率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润同比增长率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
净资产增长率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
债务股本比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


